bmrb_id,pdb_id,ets_score,author_score,nmr_score,blast_score,ligand_score,overall_score
3,1acp,,1,,0,,3
3,1hy8,,9,,9,,9
3,1klp,,9,,9,,9
3,2af8,,9,,9,,9
3,1af8,,9,,9,,9
3,1n8l,,9,,9,,9
3,1n3k,,9,,9,,9
5,1ahl,,1,,0,,1
5,1apf,,1,,9,,9
5,1atx,,9,,9,,9
5,2sh1,,1,,9,,9
5,1shi,,1,,9,,9
5,1sh1,,1,,9,,9
8,2btx,,9,,9,,9
8,1rgj,,9,,9,,9
8,1ljz,,9,,9,,9
8,1l4w,,9,,9,,9
8,1kl8,,2,,9,,9
8,1kfh,,2,,9,,9
8,1kc4,,2,,9,,9
8,1jbd,,9,,9,,9
8,1ikc,,9,,9,,9
8,1ik8,,9,,9,,9
8,1idl,,9,,9,,9
8,1idi,,9,,9,,9
8,1idh,,9,,9,,9
8,1idg,,9,,9,,9
8,1hoy,,9,,9,,9
8,1haj,,9,,9,,9
8,1haa,,9,,9,,9
8,1bxp,,9,,9,,9
8,1abt,,2,,9,,9
8,1w6b,,9,,9,,9
8,1txb,,9,,9,,9
8,1txa,,9,,9,,9
8,1lsi,,9,,9,,9
8,1lxh,,9,,9,,9
8,1lxg,,9,,9,,9
8,2nbt,,9,,9,,9
8,1nea,,9,,9,,9
8,1fra,,9,,9,,9
8,1era,,9,,9,,9
8,1nor,,9,,9,,9
8,1je9,,9,,9,,9
8,1g6m,,9,,9,,9
8,1coe,,9,,9,,9
8,1cod,,9,,9,,9
8,1mr6,,9,,9,,9
8,1vyc,,9,,9,,9
8,1jgk,,9,,9,,9
8,2cdx,,9,,9,,9
8,1ntx,,9,,9,,9
8,1cvo,,9,,9,,9
8,1rl5,,9,,9,,9
8,1ffj,,9,,9,,9
8,1chv,,9,,9,,9
8,1ccq,,9,,9,,9
8,1cb9,,9,,9,,9
8,1kbt,,9,,9,,9
8,1kbs,,9,,9,,9
8,1crf,,9,,9,,9
8,1cre,,9,,9,,9
8,2crt,,9,,9,,9
8,2crs,,9,,9,,9
8,1i02,,9,,9,,9
8,1cxo,,9,,9,,9
8,1cxn,,9,,9,,9
8,2ccx,,9,,9,,9
8,1drs,,9,,9,,9
8,1tfs,,9,,9,,9
9,1h20,,9,,0,,9
9,1ixt,,9,,9,,9
18,1egl,,1,,0,,3
18,3ci2,,9,,9,,9
18,1tin,,9,,9,,9
18,1mit,,9,,9,,9
18,1dwm,,9,,9,,9
18,1cir,,9,,9,,9
18,1cis,,9,,9,,9
21,3egf,,9,,0,,9
21,1epj,,9,,0,,9
21,1epi,,9,,0,,9
21,1eph,,9,,0,,9
21,1epg,,9,,0,,9
21,1egf,,9,,0,,9
21,1gk5,,9,,9,,9
21,1a3p,,9,,9,9,9
21,1p9j,,9,,9,,9
21,1k37,,9,,9,,9
21,1k36,,9,,9,,9
21,4tgf,,9,,9,,9
21,3tgf,,9,,9,,9
21,2tgf,,9,,9,,9
21,1yug,,9,,9,,9
21,1yuf,,9,,9,,9
21,1ip0,,9,,9,,9
21,1iox,,9,,9,,9
21,1hrf,,9,,9,,9
21,1hre,,9,,9,,9
21,1haf,,9,,9,,9
21,1hae,,9,,9,,9
21,1ixa,,9,,9,,9
21,1toz,,9,,9,,9
21,1tpg,,9,,9,,9
21,1whf,,9,,9,9,9
21,1whe,,9,,9,9,9
21,1ffm,,9,,9,9,9
21,1ff7,,9,,9,9,9
21,1f7m,,9,,9,,9
21,1f7e,,9,,9,,9
21,1ccf,,9,,9,9,9
21,1bf9,,9,,9,,9
21,1apo,,9,,9,9,9
21,1fsb,,9,,9,,9
21,1urk,,9,,9,9,9
23,1kx6,,1,,0,,1
23,1nau,,9,,9,,9
23,1d0r,,9,,9,,9
23,1jrj,,9,,9,,9
23,1t5q,,9,,9,,9
27,5hir,,2,,0,,5
27,2hir,,2,,0,,4
27,6hir,,2,,9,,9
27,4hir,,2,,9,,9
27,1hic,,9,,0,,9
27,1m8c,,9,,9,,9
27,1m8b,,9,,9,,9
29,3eze,,9,,0,9,9
29,3ezb,,9,,0,,9
29,3eza,,9,,0,,9
29,1vrc,,9,,0,9,9
29,1pfh,,9,,0,9,9
29,1j6t,,9,,0,9,9
29,1hdn,,9,,0,,9
29,1ggr,,9,,0,9,9
29,1k1c,,9,,9,,9
29,2hid,,2,,9,,9
29,1jem,,2,,9,9,9
29,1qr5,,9,,9,,9
29,1qfr,,9,,9,,9
29,1txe,,9,,9,,9
29,1ka5,,9,,9,,9
30,1ghc,,9,,9,,9
30,1ust,,9,,9,,9
30,1uhm,,9,,9,,9
30,1yqa,,9,,9,,9
30,1uss,,9,,9,,9
32,1osl,,2,,0,,9
32,1lqc,,2,,0,,9
32,1lcd,,2,,0,9,9
32,1lcc,,2,,0,9,9
32,1l1m,,2,,0,,9
32,1cjg,,2,,0,,9
32,2bjc,,2,,9,,9
32,1prv,,9,,9,,9
32,1pru,,9,,9,,9
32,1uxd,,9,,9,,9
32,1uxc,,9,,9,,9
36,1bh1,,9,,0,,9
39,1mrt,,1,,9,9,9
39,1mhu,,1,,9,9,9
39,1mrb,,1,,9,9,9
39,1dfs,,9,,9,9,9
39,2mrt,,1,,9,9,9
39,2mhu,,1,,9,9,9
39,1dft,,9,,9,9,9
39,1ji9,,9,,9,9,9
39,2mrb,,1,,9,9,9
39,2fj5,,9,,9,9,9
39,2fj4,,9,,9,9,9
